ID            : 5943
TypeExp       : DISNEU
TypeTheo      : SIG
TypeCurrent   : CCWM
A1            : 56
A2            : 0
Z1            : 26
Z2            : 0
KinVar        : [X, Q2, Y ]

X	Q2	Y	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.550	24.510	0.250	0.18402	0.18505	0.01676	0.01619	0.00552	0.01146
0.550	34.310	0.350	0.11113	0.13086	0.02247	0.01356	0.78094	1.33840
0.550	44.110	0.450	0.08448	0.09009	0.01657	0.01371	0.11873	-0.05433
0.550	53.910	0.550	0.07115	0.05893	0.01747	0.01578	0.48279	0.76072
0.650	28.960	0.250	0.07780	0.08035	0.01320	0.01018	0.03996	0.00634
0.650	40.550	0.350	0.06441	0.05538	0.01191	0.01046	0.56463	1.13010
0.650	52.130	0.450	0.04364	0.03736	0.01057	0.01043	0.34718	0.36724
0.045	4.179	0.450	1.27051	1.07501	0.07885	0.06372	6.05251	8.70810
0.045	5.107	0.550	1.14336	0.95070	0.08281	0.06071	5.33663	10.17912
0.045	6.036	0.650	1.02822	0.84050	0.06982	0.05780	7.13526	10.07042
0.045	6.965	0.750	0.88145	0.74897	0.06434	0.05395	4.17225	5.98353
0.045	7.893	0.850	0.73938	0.67908	0.07030	0.06597	0.71443	0.76421
0.080	4.127	0.250	1.39066	1.37615	0.07884	0.05914	0.02656	0.03229
0.080	5.778	0.350	1.18141	1.20032	0.07242	0.05395	0.07871	0.10923
0.080	7.429	0.450	1.04024	1.03232	0.05545	0.05103	0.01452	0.01505
0.080	9.080	0.550	0.97276	0.88260	0.06143	0.04954	2.09850	3.66419
0.080	10.730	0.650	0.86703	0.75588	0.07460	0.04727	2.17930	5.49108
0.080	12.380	0.750	0.70624	0.65549	0.05090	0.04453	0.96145	1.25118
0.080	14.030	0.850	0.53023	0.58285	0.05746	0.05250	0.85876	1.10484
0.125	6.449	0.250	1.40567	1.29869	0.05946	0.05426	3.13674	3.72747
0.125	9.028	0.350	0.95043	1.08747	0.04714	0.04434	8.59060	9.79222
0.125	11.610	0.450	0.97316	0.89841	0.06341	0.04512	1.34721	2.51159
0.125	14.190	0.550	0.75069	0.73643	0.04683	0.03992	0.08154	0.16058
0.125	16.770	0.650	0.76311	0.60362	0.04746	0.04196	11.16378	14.56774
0.125	19.350	0.750	0.50991	0.50096	0.05117	0.03598	0.02658	0.02603
0.125	21.930	0.850	0.49529	0.42900	0.05988	0.05196	1.20379	1.38951
0.175	5.417	0.150	1.34861	1.39470	0.06924	0.05411	0.47458	0.72707
0.175	9.028	0.250	1.15738	1.14835	0.05225	0.04980	0.02141	0.02506
0.175	12.640	0.350	0.95043	0.92798	0.05153	0.04530	0.17125	0.29074
0.175	16.250	0.450	0.63686	0.73816	0.04138	0.03729	6.08266	7.04730
0.175	19.860	0.550	0.48378	0.57951	0.03515	0.03301	7.50598	8.18202
0.175	23.470	0.650	0.44643	0.45194	0.03672	0.03354	0.02706	0.05411
0.175	27.080	0.750	0.38105	0.35501	0.03847	0.03470	0.44240	0.52476
0.175	30.700	0.850	0.33560	0.28836	0.06616	0.04870	0.50121	0.75882
0.225	6.965	0.150	1.15337	1.22839	0.05343	0.05061	2.04402	1.94747
0.225	11.610	0.250	0.92060	0.98079	0.06216	0.04482	0.97218	2.05063
0.225	16.250	0.350	0.74719	0.77019	0.04868	0.04070	0.24076	0.25695
0.225	20.890	0.450	0.56928	0.59343	0.03949	0.03596	0.39554	0.46786
0.225	25.540	0.550	0.50000	0.44828	0.03725	0.03552	1.88342	1.92756
0.225	30.180	0.650	0.33950	0.33297	0.03771	0.03115	0.02641	-0.00626
0.225	34.820	0.750	0.22947	0.24640	0.03145	0.02957	0.29908	0.26788
0.275	8.512	0.150	0.95664	1.04791	0.04775	0.04657	3.74563	3.65568
0.275	14.190	0.250	0.83539	0.81582	0.05293	0.04376	0.12328	0.18083
0.275	19.860	0.350	0.63275	0.62578	0.04296	0.03838	0.02094	0.01620
0.275	25.540	0.450	0.46605	0.46960	0.04297	0.03413	0.00911	0.00945
0.275	31.210	0.550	0.40889	0.34290	0.03465	0.03322	3.57216	3.88112
0.275	36.890	0.650	0.23087	0.24330	0.02811	0.02743	0.20415	0.16860
