ID            : 5945
TypeExp       : DISNEU
TypeTheo      : SIG
TypeCurrent   : CCWP
A1            : 56
A2            : 0
Z1            : 26
Z2            : 0
KinVar        : [X, Q2, Y ]

X	Q2	Y	data	theory	totError	totErrorUncor	chi2Naive	chi2Corr
0.125	12.956	0.650	1.75900	1.74444	0.07345	0.07345	0.03931	0.03931
0.125	14.949	0.750	1.82000	1.71910	0.09153	0.09153	1.21528	1.21528
0.175	4.186	0.150	1.75400	1.79279	0.05598	0.05598	0.48023	0.48023
0.175	6.976	0.250	1.74000	1.77020	0.05445	0.05445	0.30761	0.30761
0.175	9.767	0.350	1.62900	1.73743	0.05277	0.05277	4.22229	4.22229
0.175	12.557	0.450	1.62000	1.70445	0.05319	0.05319	2.52100	2.52100
0.175	15.348	0.550	1.54000	1.67395	0.06510	0.06510	4.23359	4.23359
0.175	18.139	0.650	1.56700	1.64688	0.06982	0.06982	1.30893	1.30893
0.175	20.929	0.750	1.61200	1.62362	0.09538	0.09538	0.01483	0.01483
0.225	5.382	0.150	1.60000	1.63450	0.06357	0.06357	0.29452	0.29452
0.225	8.970	0.250	1.55000	1.59642	0.05691	0.05691	0.66525	0.66525
0.225	12.557	0.350	1.52000	1.55952	0.05164	0.05164	0.58558	0.58558
0.225	16.145	0.450	1.47000	1.52655	0.05633	0.05633	1.00780	1.00780
0.225	19.733	0.550	1.43500	1.49766	0.06137	0.06137	1.04264	1.04264
0.225	23.321	0.650	1.51000	1.47265	0.08325	0.08325	0.20127	0.20127
0.225	26.909	0.750	1.27400	1.45118	0.11400	0.11400	2.41544	2.41544
0.275	6.578	0.150	1.35900	1.43131	0.05462	0.05462	1.75244	1.75244
0.275	10.963	0.250	1.32900	1.38385	0.05182	0.05182	1.12032	1.12032
0.275	15.348	0.350	1.28200	1.34533	0.05418	0.05418	1.36618	1.36618
0.275	19.733	0.450	1.28200	1.31339	0.05441	0.05441	0.33282	0.33282
0.275	24.118	0.550	1.31800	1.28660	0.06325	0.06325	0.24651	0.24651
0.275	28.503	0.650	1.09000	1.26369	0.09455	0.09455	3.37450	3.37450
0.275	32.889	0.750	1.16700	1.24402	0.11170	0.11170	0.47547	0.47547
0.350	8.372	0.150	1.05200	1.10099	0.03523	0.03523	1.93387	1.93387
0.350	13.953	0.250	0.97420	1.04796	0.03059	0.03059	5.81452	5.81452
0.350	19.534	0.350	0.94500	1.01062	0.03507	0.03507	3.50108	3.50108
0.350	25.115	0.450	0.94150	0.98213	0.03646	0.03646	1.24175	1.24175
0.350	30.696	0.550	0.96040	0.95891	0.04508	0.04508	0.00110	0.00110
0.350	36.277	0.650	0.88250	0.93940	0.06418	0.06418	0.78598	0.78598
0.450	10.764	0.150	0.72660	0.69377	0.03253	0.03253	1.01842	1.01842
0.450	17.939	0.250	0.62710	0.64482	0.02568	0.02568	0.47625	0.47625
0.450	25.115	0.350	0.53100	0.61434	0.02911	0.02911	8.19571	8.19571
0.450	32.291	0.450	0.52370	0.59217	0.02992	0.02992	5.23763	5.23763
0.450	39.466	0.550	0.49750	0.57472	0.04368	0.04368	3.12550	3.12550
0.450	46.642	0.650	0.44510	0.56037	0.07417	0.07417	2.41552	2.41552
0.550	21.926	0.250	0.31520	0.34353	0.01891	0.01891	2.24507	2.24507
0.550	30.696	0.350	0.29180	0.32229	0.02017	0.02017	2.28482	2.28482
0.550	39.466	0.450	0.29800	0.30743	0.02617	0.02617	0.12991	0.12991
0.550	48.237	0.550	0.21180	0.29609	0.03331	0.03331	6.40379	6.40379
0.650	25.912	0.250	0.13630	0.15273	0.01260	0.01260	1.69969	1.69969
0.650	36.277	0.350	0.11840	0.14029	0.01275	0.01275	2.94796	2.94796
0.650	46.642	0.450	0.09599	0.13200	0.01466	0.01466	6.03433	6.03433
0.650	57.007	0.550	0.08153	0.12587	0.02150	0.02150	4.25397	4.25397
0.045	4.411	0.550	1.62800	1.55949	0.06695	0.06695	1.04729	1.04729
0.045	5.213	0.650	1.58400	1.52332	0.07268	0.07268	0.69700	0.69700
0.045	6.015	0.750	1.78100	1.48916	0.08236	0.08236	12.55659	12.55659
0.045	6.817	0.850	1.35200	1.45975	0.15120	0.15120	0.50780	0.50780
0.080	4.990	0.350	1.87000	1.81344	0.06263	0.06263	0.81546	0.81546
0.080	6.416	0.450	1.82100	1.78414	0.06590	0.06590	0.31286	0.31286
0.080	7.842	0.550	1.82200	1.75063	0.06519	0.06519	1.19858	1.19858
0.080	9.267	0.650	1.71000	1.71796	0.07017	0.07017	0.01286	0.01286
0.080	10.693	0.750	1.65700	1.68862	0.09159	0.09159	0.11922	0.11922
0.080	12.119	0.850	1.59900	1.66488	0.16650	0.16650	0.15657	0.15657
0.125	5.569	0.250	1.88400	1.87252	0.05687	0.05687	0.04078	0.04078
0.125	7.797	0.350	1.78000	1.84532	0.05495	0.05495	1.41326	1.41326
0.125	10.025	0.450	1.72400	1.81225	0.05841	0.05841	2.28277	2.28277
0.125	12.253	0.550	1.75100	1.77934	0.06485	0.06485	0.19102	0.19102
0.125	14.480	0.650	1.67300	1.74922	0.06571	0.06571	1.34558	1.34558
0.125	16.708	0.750	1.68600	1.72322	0.09009	0.09009	0.17067	0.17067
0.175	4.678	0.150	1.81800	1.79821	0.06758	0.06758	0.08577	0.08577
0.175	7.797	0.250	1.69300	1.77205	0.05600	0.05600	1.99265	1.99265
0.175	10.916	0.350	1.77100	1.73742	0.06065	0.06065	0.30658	0.30658
0.175	14.035	0.450	1.62400	1.70326	0.05617	0.05617	1.99114	1.99114
0.175	17.154	0.550	1.73000	1.67194	0.06842	0.06842	0.72001	0.72001
0.175	20.273	0.650	1.61800	1.64428	0.06947	0.06947	0.14313	0.14313
0.175	23.391	0.750	1.69900	1.62048	0.11970	0.11970	0.43026	0.43026
0.225	6.015	0.150	1.57200	1.63286	0.05566	0.05566	1.19544	1.19544
0.225	10.025	0.250	1.55900	1.59218	0.05807	0.05807	0.32653	0.32653
0.225	14.035	0.350	1.57800	1.55400	0.06925	0.06925	0.12008	0.12008
0.225	18.045	0.450	1.42400	1.52028	0.06228	0.06228	2.38975	2.38975
0.225	22.055	0.550	1.42600	1.49092	0.06642	0.06642	0.95541	0.95541
0.225	26.065	0.650	1.24500	1.46553	0.06991	0.06991	9.95105	9.95105
0.225	30.075	0.750	1.33700	1.44376	0.10450	0.10450	1.04380	1.04380
0.275	7.352	0.150	1.44200	1.42496	0.06099	0.06099	0.07802	0.07802
0.275	12.253	0.250	1.31500	1.37583	0.04972	0.04972	1.49696	1.49696
0.275	17.154	0.350	1.23000	1.33657	0.04943	0.04943	4.64865	4.64865
0.275	22.055	0.450	1.24000	1.30433	0.05182	0.05182	1.54129	1.54129
0.275	26.956	0.550	1.27400	1.27727	0.06301	0.06301	0.00270	0.00270
0.275	31.857	0.650	1.22300	1.25415	0.08478	0.08478	0.13504	0.13504
0.275	36.758	0.750	1.22100	1.23433	0.11160	0.11160	0.01427	0.01427
0.350	9.357	0.150	1.14000	1.09094	0.03812	0.03812	1.65634	1.65634
0.350	15.594	0.250	1.00700	1.03748	0.03102	0.03102	0.96556	0.96556
0.350	21.832	0.350	0.96970	1.00020	0.03374	0.03374	0.81706	0.81706
0.350	28.070	0.450	0.92720	0.97170	0.03353	0.03353	1.76175	1.76175
0.350	34.307	0.550	0.93520	0.94846	0.04278	0.04278	0.09604	0.09604
0.350	40.545	0.650	0.97630	0.92894	0.06598	0.06598	0.51522	0.51522
0.450	12.030	0.150	0.66110	0.68304	0.02821	0.02821	0.60483	0.60483
0.450	20.050	0.250	0.61260	0.63487	0.02546	0.02546	0.76527	0.76527
0.450	28.070	0.350	0.55520	0.60501	0.02755	0.02755	3.26850	3.26850
0.450	36.090	0.450	0.56620	0.58310	0.03365	0.03365	0.25228	0.25228
0.450	44.109	0.550	0.55410	0.56584	0.03834	0.03834	0.09376	0.09376
0.450	52.129	0.650	0.55540	0.55164	0.06421	0.06421	0.00343	0.00343
0.550	14.703	0.150	0.36450	0.37193	0.01995	0.01995	0.13859	0.13859
0.550	24.505	0.250	0.33560	0.33633	0.02149	0.02149	0.00116	0.00116
0.550	34.307	0.350	0.28540	0.31568	0.02455	0.02455	1.52151	1.52151
0.550	44.109	0.450	0.25950	0.30120	0.02670	0.02670	2.43911	2.43911
0.550	53.912	0.550	0.29930	0.29012	0.03499	0.03499	0.06886	0.06886
0.650	28.961	0.250	0.11960	0.14839	0.01119	0.01119	6.61735	6.61735
0.650	40.545	0.350	0.11890	0.13651	0.01172	0.01172	2.25761	2.25761
0.650	52.129	0.450	0.12040	0.12855	0.01493	0.01493	0.29797	0.29797
0.650	63.714	0.550	0.08520	0.12264	0.02163	0.02163	2.99623	2.99623
0.045	4.179	0.450	1.73000	1.62963	0.06014	0.06014	2.78527	2.78527
0.045	5.107	0.550	1.71600	1.59366	0.05428	0.05428	5.07975	5.07975
0.045	6.036	0.650	1.70400	1.55590	0.05864	0.05864	6.37839	6.37839
0.045	6.965	0.750	1.78900	1.52058	0.06414	0.06414	17.51319	17.51319
0.045	7.893	0.850	1.75500	1.49043	0.11510	0.11510	5.28379	5.28379
0.080	4.127	0.250	1.91000	1.85625	0.04890	0.04890	1.20800	1.20800
0.080	5.778	0.350	1.89000	1.83806	0.05234	0.05234	0.98459	0.98459
0.080	7.429	0.450	1.87200	1.80607	0.04934	0.04934	1.78533	1.78533
0.080	9.080	0.550	1.81000	1.77057	0.05000	0.05000	0.62179	0.62179
0.080	10.731	0.650	1.86600	1.73612	0.05341	0.05341	5.91310	5.91310
0.080	12.382	0.750	1.73200	1.70595	0.06093	0.06093	0.18275	0.18275
0.080	14.032	0.850	1.90800	1.68138	0.11760	0.11760	3.71351	3.71351
0.125	6.449	0.250	1.84600	1.88570	0.04750	0.04750	0.69860	0.69860
0.125	9.028	0.350	1.84300	1.85533	0.04553	0.04553	0.07340	0.07340
0.125	11.608	0.450	1.77600	1.82016	0.06360	0.06360	0.48200	0.48200
0.125	14.187	0.550	1.72900	1.78575	0.04396	0.04396	1.66633	1.66633
0.125	16.767	0.650	1.76400	1.75451	0.05093	0.05093	0.03472	0.03472
0.125	19.346	0.750	1.85300	1.72766	0.06783	0.06783	3.41482	3.41482
0.125	21.926	0.850	1.85000	1.70572	0.11260	0.11260	1.64184	1.64184
0.175	5.417	0.150	1.86800	1.80401	0.04956	0.04956	1.66717	1.66717
0.175	9.028	0.250	1.73800	1.77343	0.04752	0.04752	0.55599	0.55599
0.175	12.640	0.350	1.70900	1.73647	0.04512	0.04512	0.37073	0.37073
0.175	16.251	0.450	1.69300	1.70085	0.05505	0.05505	0.02033	0.02033
0.175	19.862	0.550	1.64700	1.66852	0.05060	0.05060	0.18088	0.18088
0.175	23.473	0.650	1.55700	1.64003	0.05217	0.05217	2.53267	2.53267
0.175	27.085	0.750	1.66000	1.61565	0.07295	0.07295	0.36966	0.36966
0.175	30.696	0.850	1.51300	1.59547	0.11980	0.11980	0.47384	0.47384
0.225	6.965	0.150	1.57900	1.62969	0.04482	0.04482	1.27912	1.27912
0.225	11.608	0.250	1.61800	1.58585	0.04832	0.04832	0.44277	0.44277
0.225	16.251	0.350	1.47400	1.54611	0.04516	0.04516	2.54952	2.54952
0.225	20.894	0.450	1.49100	1.51148	0.04347	0.04347	0.22207	0.22207
0.225	25.537	0.550	1.44300	1.48154	0.04572	0.04572	0.71043	0.71043
0.225	30.180	0.650	1.40500	1.45567	0.05319	0.05319	0.90741	0.90741
0.225	34.823	0.750	1.62500	1.43353	0.08883	0.08883	4.64617	4.64617
0.275	8.512	0.150	1.38700	1.41595	0.04942	0.04942	0.34320	0.34320
0.275	14.187	0.250	1.31700	1.36483	0.04337	0.04337	1.21647	1.21647
0.275	19.862	0.350	1.33300	1.32471	0.04849	0.04849	0.02926	0.02926
0.275	25.537	0.450	1.23800	1.29213	0.04911	0.04911	1.21471	1.21471
0.275	31.212	0.550	1.24700	1.26470	0.04346	0.04346	0.16592	0.16592
0.275	36.887	0.650	1.14700	1.24133	0.05157	0.05157	3.34550	3.34550
0.275	42.562	0.750	1.19700	1.22130	0.08395	0.08395	0.08380	0.08380
0.350	10.834	0.150	1.03100	1.07752	0.02957	0.02957	2.47492	2.47492
0.350	18.056	0.250	0.96560	1.02362	0.02666	0.02666	4.73604	4.73604
0.350	25.279	0.350	0.92880	0.98650	0.02626	0.02626	4.82848	4.82848
